sales_month,naics_code,kind_of_business,reason_for_null,sales
"2003-01-01","453","Miscellaneous store retailers",,7876
"2003-01-01","4532","Office supplies, stationery, and gift stores",,3079
"2003-01-01","45321","Office supplies and stationery stores",,1994
"2003-01-01","45322","Gift, novelty, and souvenir stores",,1085
"2003-01-01","45330","Used merchandise stores",,845
"2003-01-01","454","Nonstore retailers",,17642
"2003-01-01","4541","Electronic shopping and mail-order houses",,10568
"2003-01-01","45431","Fuel dealers",,3827
"2003-01-01","722","Food services and drinking places",,26057
"2003-01-01","7224","Drinking places",,1328
"2003-01-01","7225","Restaurants and other eating places",,22599
"2003-01-01","722511","Full service restaurants",,11787
"2003-01-01","722513, 722514, 722515","Limited service eating places",,10812
"2003-01-01",,"Retail sales and food services excl gasoline stations",,247124
"2003-01-01",,"Retail sales and food services excl motor vehicle and parts",,206194
"2003-01-01",,"GAFO(1)",,65160
"2003-01-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,184990
"2003-01-01",,"Retail sales, total",,242271
"2003-01-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,180137
"2003-01-01",,"Retail and food services sales, total",,268328
"2003-02-01","441","Motor vehicle and parts dealers",,61021
"2003-02-01","4411","Automobile dealers",,53150
"2003-02-01","4411, 4412","Automobile and other motor vehicle dealers",,56368
"2003-02-01","44111","New car dealers",,47673
"2003-02-01","44112","Used car dealers",,5477
"2003-02-01","4413","Automotive parts, acc., and tire stores",,4653
"2003-02-01","442","Furniture and home furnishings stores",,6713
"2003-02-01","442, 443","Furniture, home furn, electronics, and appliance stores",,13265
"2003-02-01","4421","Furniture stores",,3824
"2003-02-01","4422","Home furnishings stores",,2889
"2003-02-01","44221","Floor covering stores",,1351
"2003-02-01","442299","All other home furnishings stores",,1461
"2003-02-01","443","Electronics and appliance stores",,6552
"2003-02-01","443141","Household appliance stores",,970
"2003-02-01","443142","Electronics stores",,5582
"2003-02-01","444","Building mat. and garden equip. and supplies dealers",,15575
"2003-02-01","4441","Building mat. and supplies dealers",,14083
"2003-02-01","44412","Paint and wallpaper stores",,535
"2003-02-01","44413","Hardware stores",,1110
"2003-02-01","445","Food and beverage stores",,35581
"2003-02-01","4451","Grocery stores",,32440
"2003-02-01","44511","Supermarkets and other grocery (except convenience) stores",,30796
"2003-02-01","4453","Beer, wine, and liquor stores",,2046
"2003-02-01","446","Health and personal care stores",,14773
"2003-02-01","44611","Pharmacies and drug stores",,12801
"2003-02-01","447","Gasoline stations",,20852
"2003-02-01","448","Clothing and clothing access. stores",,11662
"2003-02-01","4481","Clothing stores",,7941
"2003-02-01","44811","Men's clothing stores",,498
"2003-02-01","44812","Women's clothing stores",,2091
"2003-02-01","44814","Family clothing stores",,3937
"2003-02-01","44819","Other clothing stores",,669
"2003-02-01","4482","Shoe stores",,1599
"2003-02-01","44831","Jewelry stores",,2012
"2003-02-01","451","Sporting goods, hobby, musical instrument, and book stores",,4377
"2003-02-01","45111","Sporting goods stores",,1747
"2003-02-01","45112","Hobby, toy, and game stores",,940
"2003-02-01","451211","Book stores",,991
"2003-02-01","452","General merchandise stores",,32246
"2003-02-01","4521","Department stores",,14357
"2003-02-01","452111","Department stores(excl. discount department stores)",,5393
"2003-02-01","452112","Discount dept. stores",,8964
"2003-02-01","4529","Other general merchandise stores",,17889
"2003-02-01","45291","Warehouse clubs and superstores",,15345
"2003-02-01","45299","All other gen. merchandise stores",,2544
"2003-02-01","453","Miscellaneous store retailers",,7653
"2003-02-01","4532","Office supplies, stationery, and gift stores",,2916
"2003-02-01","45321","Office supplies and stationery stores",,1719
"2003-02-01","45322","Gift, novelty, and souvenir stores",,1197
"2003-02-01","45330","Used merchandise stores",,741
"2003-02-01","454","Nonstore retailers",,16473
"2003-02-01","4541","Electronic shopping and mail-order houses",,9654
"2003-02-01","45431","Fuel dealers",,3496
"2003-02-01","722","Food services and drinking places",,25573
"2003-02-01","7224","Drinking places",,1280
"2003-02-01","7225","Restaurants and other eating places",,22103
"2003-02-01","722511","Full service restaurants",,11506
"2003-02-01","722513, 722514, 722515","Limited service eating places",,10597
"2003-02-01",,"GAFO(1)",,64466
"2003-02-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,177178
"2003-02-01",,"Retail sales, total",,233478
"2003-02-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,172457
"2003-02-01",,"Retail sales and food services excl gasoline stations",,238199
"2003-02-01",,"Retail sales and food services excl motor vehicle and parts",,198030
"2003-02-01",,"Retail and food services sales, total",,259051
"2003-03-01","441","Motor vehicle and parts dealers",,71864
"2003-03-01","4411","Automobile dealers",,61877
"2003-03-01","4411, 4412","Automobile and other motor vehicle dealers",,66594
"2003-03-01","44111","New car dealers",,56000
"2003-03-01","44112","Used car dealers",,5877
"2003-03-01","4413","Automotive parts, acc., and tire stores",,5270
"2003-03-01","442","Furniture and home furnishings stores",,7618
"2003-03-01","442, 443","Furniture, home furn, electronics, and appliance stores",,14511
"2003-03-01","4421","Furniture stores",,4283
"2003-03-01","4422","Home furnishings stores",,3335
"2003-03-01","44221","Floor covering stores",,1572
"2003-03-01","442299","All other home furnishings stores",,1667
"2003-03-01","443","Electronics and appliance stores",,6893
"2003-03-01","443141","Household appliance stores",,1096
"2003-03-01","443142","Electronics stores",,5797
"2003-03-01","444","Building mat. and garden equip. and supplies dealers",,20174
"2003-03-01","4441","Building mat. and supplies dealers",,17619
"2003-03-01","44412","Paint and wallpaper stores",,640
"2003-03-01","44413","Hardware stores",,1338
"2003-03-01","445","Food and beverage stores",,38721
"2003-03-01","4451","Grocery stores",,35265
"2003-03-01","44511","Supermarkets and other grocery (except convenience) stores",,33438
"2003-03-01","4453","Beer, wine, and liquor stores",,2273
"2003-03-01","446","Health and personal care stores",,15849
"2003-03-01","44611","Pharmacies and drug stores",,13616
"2003-03-01","447","Gasoline stations",,23872
"2003-03-01","448","Clothing and clothing access. stores",,13452
"2003-03-01","4481","Clothing stores",,9949
"2003-03-01","44811","Men's clothing stores",,601
"2003-03-01","44812","Women's clothing stores",,2619
"2003-03-01","44814","Family clothing stores",,5058
"2003-03-01","44819","Other clothing stores",,760
"2003-03-01","4482","Shoe stores",,1910
"2003-03-01","44831","Jewelry stores",,1474
"2003-03-01","451","Sporting goods, hobby, musical instrument, and book stores",,4964
"2003-03-01","45111","Sporting goods stores",,2121
"2003-03-01","45112","Hobby, toy, and game stores",,1111
"2003-03-01","451211","Book stores",,925
"2003-03-01","452","General merchandise stores",,36251
"2003-03-01","4521","Department stores",,16371
"2003-03-01","452111","Department stores(excl. discount department stores)",,6290
"2003-03-01","452112","Discount dept. stores",,10081
"2003-03-01","4529","Other general merchandise stores",,19880
"2003-03-01","45291","Warehouse clubs and superstores",,17000
"2003-03-01","45299","All other gen. merchandise stores",,2880
"2003-03-01","453","Miscellaneous store retailers",,7761
"2003-03-01","4532","Office supplies, stationery, and gift stores",,2819
"2003-03-01","45321","Office supplies and stationery stores",,1683
"2003-03-01","45322","Gift, novelty, and souvenir stores",,1136
"2003-03-01","45330","Used merchandise stores",,793
"2003-03-01","454","Nonstore retailers",,17113
"2003-03-01","4541","Electronic shopping and mail-order houses",,10403
"2003-03-01","45431","Fuel dealers",,2993
"2003-03-01","722","Food services and drinking places",,29161
"2003-03-01","7224","Drinking places",,1478
"2003-03-01","7225","Restaurants and other eating places",,25193
"2003-03-01","722511","Full service restaurants",,12944
"2003-03-01","722513, 722514, 722515","Limited service eating places",,12249
"2003-03-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,192668
"2003-03-01",,"GAFO(1)",,71997
"2003-03-01",,"Retail sales and food services excl gasoline stations",,269821
"2003-03-01",,"Retail sales, total",,264532
"2003-03-01",,"Retail and food services sales, total",,293693
"2003-03-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,197957
"2003-03-01",,"Retail sales and food services excl motor vehicle and parts",,221829
"2003-04-01","441","Motor vehicle and parts dealers",,72396
"2003-04-01","4411","Automobile dealers",,61336
"2003-04-01","4411, 4412","Automobile and other motor vehicle dealers",,66968
"2003-04-01","44111","New car dealers",,55764
"2003-04-01","44112","Used car dealers",,5572
"2003-04-01","4413","Automotive parts, acc., and tire stores",,5428
"2003-04-01","442","Furniture and home furnishings stores",,7374
"2003-04-01","442, 443","Furniture, home furn, electronics, and appliance stores",,13728
"2003-04-01","4421","Furniture stores",,3989
"2003-04-01","4422","Home furnishings stores",,3385
"2003-04-01","44221","Floor covering stores",,1552
"2003-04-01","442299","All other home furnishings stores",,1727
"2003-04-01","443","Electronics and appliance stores",,6354
"2003-04-01","443141","Household appliance stores",,1067
"2003-04-01","443142","Electronics stores",,5287
"2003-04-01","444","Building mat. and garden equip. and supplies dealers",,24295
"2003-04-01","4441","Building mat. and supplies dealers",,19876
"2003-04-01","44412","Paint and wallpaper stores",,716
"2003-04-01","44413","Hardware stores",,1492
"2003-04-01","445","Food and beverage stores",,38478
"2003-04-01","4451","Grocery stores",,34854
"2003-04-01","44511","Supermarkets and other grocery (except convenience) stores",,33102
"2003-04-01","4453","Beer, wine, and liquor stores",,2333
"2003-04-01","446","Health and personal care stores",,15736
"2003-04-01","44611","Pharmacies and drug stores",,13545
"2003-04-01","447","Gasoline stations",,22829
"2003-04-01","448","Clothing and clothing access. stores",,13691
"2003-04-01","4481","Clothing stores",,9992
"2003-04-01","44811","Men's clothing stores",,631
"2003-04-01","44812","Women's clothing stores",,2724
"2003-04-01","44814","Family clothing stores",,5076
"2003-04-01","44819","Other clothing stores",,691
"2003-04-01","4482","Shoe stores",,1972
"2003-04-01","44831","Jewelry stores",,1612
"2003-04-01","451","Sporting goods, hobby, musical instrument, and book stores",,4995
"2003-04-01","45111","Sporting goods stores",,2135
"2003-04-01","45112","Hobby, toy, and game stores",,1139
"2003-04-01","451211","Book stores",,975
"2003-04-01","452","General merchandise stores",,36040
"2003-04-01","4521","Department stores",,16375
"2003-04-01","452111","Department stores(excl. discount department stores)",,6388
"2003-04-01","452112","Discount dept. stores",,9987
"2003-04-01","4529","Other general merchandise stores",,19665
"2003-04-01","45291","Warehouse clubs and superstores",,16627
"2003-04-01","45299","All other gen. merchandise stores",,3038
"2003-04-01","453","Miscellaneous store retailers",,7944
"2003-04-01","4532","Office supplies, stationery, and gift stores",,2840
"2003-04-01","45321","Office supplies and stationery stores",,1586
"2003-04-01","45322","Gift, novelty, and souvenir stores",,1254
"2003-04-01","45330","Used merchandise stores",,739
"2003-04-01","454","Nonstore retailers",,15858
"2003-04-01","4541","Electronic shopping and mail-order houses",,10415
"2003-04-01","45431","Fuel dealers",,2045
"2003-04-01","722","Food services and drinking places",,28261
"2003-04-01","7224","Drinking places",,1407
"2003-04-01","7225","Restaurants and other eating places",,24445
"2003-04-01","722511","Full service restaurants",,12419
"2003-04-01","722513, 722514, 722515","Limited service eating places",,12026
"2003-04-01",,"Retail sales and food services excl gasoline stations",,271422
"2003-04-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,199026
"2003-04-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,193594
"2003-04-01",,"Retail and food services sales, total",,294251
"2003-04-01",,"Retail sales and food services excl motor vehicle and parts",,221855
"2003-04-01",,"GAFO(1)",,71294
"2003-04-01",,"Retail sales, total",,265990
"2003-05-01","441","Motor vehicle and parts dealers",,76730
"2003-05-01","4411","Automobile dealers",,65092
"2003-05-01","4411, 4412","Automobile and other motor vehicle dealers",,71174
"2003-05-01","44111","New car dealers",,59506
"2003-05-01","44112","Used car dealers",,5586
"2003-05-01","4413","Automotive parts, acc., and tire stores",,5556
"2003-05-01","442","Furniture and home furnishings stores",,8078
"2003-05-01","442, 443","Furniture, home furn, electronics, and appliance stores",,15036
"2003-05-01","4421","Furniture stores",,4375
"2003-05-01","4422","Home furnishings stores",,3703
"2003-05-01","44221","Floor covering stores",,1677
"2003-05-01","442299","All other home furnishings stores",,1916
"2003-05-01","443","Electronics and appliance stores",,6958
"2003-05-01","443141","Household appliance stores",,1165
"2003-05-01","443142","Electronics stores",,5793
"2003-05-01","444","Building mat. and garden equip. and supplies dealers",,25849
"2003-05-01","4441","Building mat. and supplies dealers",,20984
"2003-05-01","44412","Paint and wallpaper stores",,769
"2003-05-01","44413","Hardware stores",,1747
"2003-05-01","445","Food and beverage stores",,41032
"2003-05-01","4451","Grocery stores",,37057
"2003-05-01","44511","Supermarkets and other grocery (except convenience) stores",,35203
"2003-05-01","4453","Beer, wine, and liquor stores",,2576
"2003-05-01","446","Health and personal care stores",,16170
"2003-05-01","44611","Pharmacies and drug stores",,13959
"2003-05-01","447","Gasoline stations",,23293
"2003-05-01","448","Clothing and clothing access. stores",,14730
"2003-05-01","4481","Clothing stores",,10522
"2003-05-01","44811","Men's clothing stores",,679
"2003-05-01","44812","Women's clothing stores",,2813
"2003-05-01","44814","Family clothing stores",,5435
"2003-05-01","44819","Other clothing stores",,751
"2003-05-01","4482","Shoe stores",,1997
"2003-05-01","44831","Jewelry stores",,2066
"2003-05-01","451","Sporting goods, hobby, musical instrument, and book stores",,5231
"2003-05-01","45111","Sporting goods stores",,2182
"2003-05-01","45112","Hobby, toy, and game stores",,1088
"2003-05-01","451211","Book stores",,1107
"2003-05-01","452","General merchandise stores",,38849
"2003-05-01","4521","Department stores",,17570
"2003-05-01","452111","Department stores(excl. discount department stores)",,6962
"2003-05-01","452112","Discount dept. stores",,10608
"2003-05-01","4529","Other general merchandise stores",,21279
"2003-05-01","45291","Warehouse clubs and superstores",,18067
"2003-05-01","45299","All other gen. merchandise stores",,3212
"2003-05-01","453","Miscellaneous store retailers",,8963
"2003-05-01","4532","Office supplies, stationery, and gift stores",,3096
"2003-05-01","45321","Office supplies and stationery stores",,1596
"2003-05-01","45322","Gift, novelty, and souvenir stores",,1500
"2003-05-01","45330","Used merchandise stores",,746
"2003-05-01","454","Nonstore retailers",,15599
"2003-05-01","4541","Electronic shopping and mail-order houses",,10322
"2003-05-01","45431","Fuel dealers",,1639
"2003-05-01","722","Food services and drinking places",,30907
"2003-05-01","7224","Drinking places",,1523
"2003-05-01","7225","Restaurants and other eating places",,26711
"2003-05-01","722511","Full service restaurants",,13744
"2003-05-01","722513, 722514, 722515","Limited service eating places",,12967
"2003-05-01",,"Retail sales and food services excl gasoline stations",,289096
"2003-05-01",,"GAFO(1)",,76942
"2003-05-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,204752
"2003-05-01",,"Retail sales, total",,281482
"2003-05-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,212366
"2003-05-01",,"Retail sales and food services excl motor vehicle and parts",,235659
"2003-05-01",,"Retail and food services sales, total",,312389
"2003-06-01","441","Motor vehicle and parts dealers",,74622
"2003-06-01","4411","Automobile dealers",,63414
"2003-06-01","4411, 4412","Automobile and other motor vehicle dealers",,69078
"2003-06-01","44111","New car dealers",,58090
"2003-06-01","44112","Used car dealers",,5324
"2003-06-01","4413","Automotive parts, acc., and tire stores",,5544
"2003-06-01","442","Furniture and home furnishings stores",,7753
"2003-06-01","442, 443","Furniture, home furn, electronics, and appliance stores",,14829
"2003-06-01","4421","Furniture stores",,4138
"2003-06-01","4422","Home furnishings stores",,3615
"2003-06-01","44221","Floor covering stores",,1662
"2003-06-01","442299","All other home furnishings stores",,1847
"2003-06-01","443","Electronics and appliance stores",,7076
"2003-06-01","443141","Household appliance stores",,1216
"2003-06-01","443142","Electronics stores",,5860
"2003-06-01","444","Building mat. and garden equip. and supplies dealers",,25064
"2003-06-01","4441","Building mat. and supplies dealers",,20946
"2003-06-01","44412","Paint and wallpaper stores",,792
"2003-06-01","44413","Hardware stores",,1670
"2003-06-01","445","Food and beverage stores",,38969
"2003-06-01","4451","Grocery stores",,35212
"2003-06-01","44511","Supermarkets and other grocery (except convenience) stores",,33364
"2003-06-01","4453","Beer, wine, and liquor stores",,2433
"2003-06-01","446","Health and personal care stores",,15504
"2003-06-01","44611","Pharmacies and drug stores",,13262
"2003-06-01","447","Gasoline stations",,22801
"2003-06-01","448","Clothing and clothing access. stores",,13496
"2003-06-01","4481","Clothing stores",,9853
"2003-06-01","44811","Men's clothing stores",,657
"2003-06-01","44812","Women's clothing stores",,2536
"2003-06-01","44814","Family clothing stores",,5157
"2003-06-01","44819","Other clothing stores",,733
"2003-06-01","4482","Shoe stores",,1812
"2003-06-01","44831","Jewelry stores",,1707
"2003-06-01","451","Sporting goods, hobby, musical instrument, and book stores",,5323
"2003-06-01","45111","Sporting goods stores",,2325
"2003-06-01","45112","Hobby, toy, and game stores",,1064
"2003-06-01","451211","Book stores",,1181
"2003-06-01","452","General merchandise stores",,37301
"2003-06-01","4521","Department stores",,16639
"2003-06-01","452111","Department stores(excl. discount department stores)",,6432
"2003-06-01","452112","Discount dept. stores",,10207
"2003-06-01","4529","Other general merchandise stores",,20662
"2003-06-01","45291","Warehouse clubs and superstores",,17608
"2003-06-01","45299","All other gen. merchandise stores",,3054
"2003-06-01","453","Miscellaneous store retailers",,8278
"2003-06-01","4532","Office supplies, stationery, and gift stores",,2864
"2003-06-01","45321","Office supplies and stationery stores",,1470
"2003-06-01","45322","Gift, novelty, and souvenir stores",,1394
"2003-06-01","45330","Used merchandise stores",,674
"2003-06-01","454","Nonstore retailers",,15055
"2003-06-01","4541","Electronic shopping and mail-order houses",,10185
"2003-06-01","45431","Fuel dealers",,1473
"2003-06-01","722","Food services and drinking places",,29756
"2003-06-01","7224","Drinking places",,1403
"2003-06-01","7225","Restaurants and other eating places",,25877
"2003-06-01","722511","Full service restaurants",,13263
"2003-06-01","722513, 722514, 722515","Limited service eating places",,12614
"2003-06-01",,"Retail sales and food services excl gasoline stations",,278197
"2003-06-01",,"GAFO(1)",,73813
"2003-06-01",,"Retail sales, total",,271242
"2003-06-01",,"Retail and food services sales, total",,300998
"2003-06-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,203575
"2003-06-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,196620
"2003-06-01",,"Retail sales and food services excl motor vehicle and parts",,226376
"2003-07-01","441","Motor vehicle and parts dealers",,78478
"2003-07-01","4411","Automobile dealers",,66899
"2003-07-01","4411, 4412","Automobile and other motor vehicle dealers",,72642
"2003-07-01","44111","New car dealers",,61433
"2003-07-01","44112","Used car dealers",,5466
"2003-07-01","4413","Automotive parts, acc., and tire stores",,5836
"2003-07-01","442","Furniture and home furnishings stores",,8074
"2003-07-01","442, 443","Furniture, home furn, electronics, and appliance stores",,15295
"2003-07-01","4421","Furniture stores",,4285
"2003-07-01","4422","Home furnishings stores",,3789
"2003-07-01","44221","Floor covering stores",,1713
"2003-07-01","442299","All other home furnishings stores",,1962
"2003-07-01","443","Electronics and appliance stores",,7221
"2003-07-01","443141","Household appliance stores",,1285
"2003-07-01","443142","Electronics stores",,5936
"2003-07-01","444","Building mat. and garden equip. and supplies dealers",,24447
"2003-07-01","4441","Building mat. and supplies dealers",,21465
"2003-07-01","44412","Paint and wallpaper stores",,845
"2003-07-01","44413","Hardware stores",,1622
"2003-07-01","445","Food and beverage stores",,41076
"2003-07-01","4451","Grocery stores",,37108
"2003-07-01","44511","Supermarkets and other grocery (except convenience) stores",,35141
"2003-07-01","4453","Beer, wine, and liquor stores",,2611
"2003-07-01","446","Health and personal care stores",,16004
"2003-07-01","44611","Pharmacies and drug stores",,13659
"2003-07-01","447","Gasoline stations",,23994
"2003-07-01","448","Clothing and clothing access. stores",,13854
"2003-07-01","4481","Clothing stores",,10140
"2003-07-01","44811","Men's clothing stores",,602
"2003-07-01","44812","Women's clothing stores",,2450
"2003-07-01","44814","Family clothing stores",,5491
"2003-07-01","44819","Other clothing stores",,730
"2003-07-01","4482","Shoe stores",,1912
"2003-07-01","44831","Jewelry stores",,1674
"2003-07-01","451","Sporting goods, hobby, musical instrument, and book stores",,5291
"2003-07-01","45111","Sporting goods stores",,2293
"2003-07-01","45112","Hobby, toy, and game stores",,1094
"2003-07-01","451211","Book stores",,1128
"2003-07-01","452","General merchandise stores",,37214
"2003-07-01","4521","Department stores",,16385
"2003-07-01","452111","Department stores(excl. discount department stores)",,6142
"2003-07-01","452112","Discount dept. stores",,10243
"2003-07-01","4529","Other general merchandise stores",,20829
"2003-07-01","45291","Warehouse clubs and superstores",,17747
"2003-07-01","45299","All other gen. merchandise stores",,3082
"2003-07-01","453","Miscellaneous store retailers",,8381
"2003-07-01","4532","Office supplies, stationery, and gift stores",,3010
"2003-07-01","45321","Office supplies and stationery stores",,1621
"2003-07-01","45322","Gift, novelty, and souvenir stores",,1389
"2003-07-01","45330","Used merchandise stores",,739
"2003-07-01","454","Nonstore retailers",,15289
"2003-07-01","4541","Electronic shopping and mail-order houses",,10511
"2003-07-01","45431","Fuel dealers",,1571
"2003-07-01","722","Food services and drinking places",,30600
"2003-07-01","7224","Drinking places",,1477
"2003-07-01","7225","Restaurants and other eating places",,26690
"2003-07-01","722511","Full service restaurants",,13694
"2003-07-01","722513, 722514, 722515","Limited service eating places",,12996
"2003-07-01",,"GAFO(1)",,74664
"2003-07-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,207451
"2003-07-01",,"Retail and food services sales, total",,309923
"2003-07-01",,"Retail sales and food services excl gasoline stations",,285929
"2003-07-01",,"Retail sales, total",,279323
"2003-07-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,200845
"2003-07-01",,"Retail sales and food services excl motor vehicle and parts",,231445
"2003-08-01","441","Motor vehicle and parts dealers",,77662
"2003-08-01","4411","Automobile dealers",,66850
"2003-08-01","4411, 4412","Automobile and other motor vehicle dealers",,71996
"2003-08-01","44111","New car dealers",,61356
"2003-08-01","44112","Used car dealers",,5494
"2003-08-01","4413","Automotive parts, acc., and tire stores",,5666
"2003-08-01","442","Furniture and home furnishings stores",,8384
"2003-08-01","442, 443","Furniture, home furn, electronics, and appliance stores",,16235
"2003-08-01","4421","Furniture stores",,4530
"2003-08-01","4422","Home furnishings stores",,3854
"2003-08-01","44221","Floor covering stores",,1678
"2003-08-01","442299","All other home furnishings stores",,2067
"2003-08-01","443","Electronics and appliance stores",,7851
"2003-08-01","443141","Household appliance stores",,1273
"2003-08-01","443142","Electronics stores",,6578
"2003-08-01","444","Building mat. and garden equip. and supplies dealers",,22659
"2003-08-01","4441","Building mat. and supplies dealers",,20425
"2003-08-01","44412","Paint and wallpaper stores",,798
"2003-08-01","44413","Hardware stores",,1544
"2003-08-01","445","Food and beverage stores",,40670
"2003-08-01","4451","Grocery stores",,36644
"2003-08-01","44511","Supermarkets and other grocery (except convenience) stores",,34704
"2003-08-01","4453","Beer, wine, and liquor stores",,2660
"2003-08-01","446","Health and personal care stores",,16002
"2003-08-01","44611","Pharmacies and drug stores",,13607
"2003-08-01","447","Gasoline stations",,24965
"2003-08-01","448","Clothing and clothing access. stores",,15522
"2003-08-01","4481","Clothing stores",,11175
"2003-08-01","44811","Men's clothing stores",,741
"2003-08-01","44812","Women's clothing stores",,2597
"2003-08-01","44814","Family clothing stores",,5979
"2003-08-01","44819","Other clothing stores",,819
"2003-08-01","4482","Shoe stores",,2449
"2003-08-01","44831","Jewelry stores",,1758
"2003-08-01","451","Sporting goods, hobby, musical instrument, and book stores",,6714
"2003-08-01","45111","Sporting goods stores",,2548
"2003-08-01","45112","Hobby, toy, and game stores",,1087
"2003-08-01","451211","Book stores",,2139
"2003-08-01","452","General merchandise stores",,40211
"2003-08-01","4521","Department stores",,18182
"2003-08-01","452111","Department stores(excl. discount department stores)",,7058
"2003-08-01","452112","Discount dept. stores",,11124
"2003-08-01","4529","Other general merchandise stores",,22029
"2003-08-01","45291","Warehouse clubs and superstores",,18906
"2003-08-01","45299","All other gen. merchandise stores",,3123
"2003-08-01","453","Miscellaneous store retailers",,8778
"2003-08-01","4532","Office supplies, stationery, and gift stores",,3497
"2003-08-01","45321","Office supplies and stationery stores",,2034
"2003-08-01","45322","Gift, novelty, and souvenir stores",,1463
"2003-08-01","45330","Used merchandise stores",,747
"2003-08-01","454","Nonstore retailers",,15794
"2003-08-01","4541","Electronic shopping and mail-order houses",,10641
"2003-08-01","45431","Fuel dealers",,1683
"2003-08-01","722","Food services and drinking places",,31844
"2003-08-01","7224","Drinking places",,1572
"2003-08-01","7225","Restaurants and other eating places",,27552
"2003-08-01","722511","Full service restaurants",,14362
"2003-08-01","722513, 722514, 722515","Limited service eating places",,13190
"2003-08-01",,"Retail sales, total",,285212
"2003-08-01",,"Retail sales and food services excl gasoline stations",,292091
"2003-08-01",,"Retail sales and food services excl motor vehicle and parts",,239394
"2003-08-01",,"GAFO(1)",,82179
"2003-08-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,214429
"2003-08-01",,"Retail and food services sales, total",,317056
"2003-08-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,207550
"2003-09-01","441","Motor vehicle and parts dealers",,70122
"2003-09-01","4411","Automobile dealers",,60369
"2003-09-01","4411, 4412","Automobile and other motor vehicle dealers",,64633
"2003-09-01","44111","New car dealers",,55297
"2003-09-01","44112","Used car dealers",,5072
"2003-09-01","4413","Automotive parts, acc., and tire stores",,5489
"2003-09-01","442","Furniture and home furnishings stores",,8017
"2003-09-01","442, 443","Furniture, home furn, electronics, and appliance stores",,15230
"2003-09-01","4421","Furniture stores",,4259
"2003-09-01","4422","Home furnishings stores",,3758
"2003-09-01","44221","Floor covering stores",,1720
"2003-09-01","442299","All other home furnishings stores",,1938
"2003-09-01","443","Electronics and appliance stores",,7213
"2003-09-01","443141","Household appliance stores",,1218
"2003-09-01","443142","Electronics stores",,5995
"2003-09-01","444","Building mat. and garden equip. and supplies dealers",,22817
"2003-09-01","4441","Building mat. and supplies dealers",,20775
"2003-09-01","44412","Paint and wallpaper stores",,782
"2003-09-01","44413","Hardware stores",,1492
"2003-09-01","445","Food and beverage stores",,38396
"2003-09-01","4451","Grocery stores",,34697
"2003-09-01","44511","Supermarkets and other grocery (except convenience) stores",,32872
"2003-09-01","4453","Beer, wine, and liquor stores",,2461
"2003-09-01","446","Health and personal care stores",,15718
"2003-09-01","44611","Pharmacies and drug stores",,13591
"2003-09-01","447","Gasoline stations",,23400
"2003-09-01","448","Clothing and clothing access. stores",,13567
"2003-09-01","4481","Clothing stores",,10042
"2003-09-01","44811","Men's clothing stores",,625
"2003-09-01","44812","Women's clothing stores",,2627
"2003-09-01","44814","Family clothing stores",,5218
"2003-09-01","44819","Other clothing stores",,690
"2003-09-01","4482","Shoe stores",,1777
"2003-09-01","44831","Jewelry stores",,1626
"2003-09-01","451","Sporting goods, hobby, musical instrument, and book stores",,5627
"2003-09-01","45111","Sporting goods stores",,2075
"2003-09-01","45112","Hobby, toy, and game stores",,1095
"2003-09-01","451211","Book stores",,1572
"2003-09-01","452","General merchandise stores",,35284
"2003-09-01","4521","Department stores",,15669
"2003-09-01","452111","Department stores(excl. discount department stores)",,6287
"2003-09-01","452112","Discount dept. stores",,9382
"2003-09-01","4529","Other general merchandise stores",,19615
"2003-09-01","45291","Warehouse clubs and superstores",,16729
"2003-09-01","45299","All other gen. merchandise stores",,2886
"2003-09-01","453","Miscellaneous store retailers",,8244
"2003-09-01","4532","Office supplies, stationery, and gift stores",,3078
"2003-09-01","45321","Office supplies and stationery stores",,1855
"2003-09-01","45322","Gift, novelty, and souvenir stores",,1223
"2003-09-01","45330","Used merchandise stores",,758
"2003-09-01","454","Nonstore retailers",,16926
"2003-09-01","4541","Electronic shopping and mail-order houses",,11253
"2003-09-01","45431","Fuel dealers",,1818
"2003-09-01","722","Food services and drinking places",,28559
"2003-09-01","7224","Drinking places",,1434
"2003-09-01","7225","Restaurants and other eating places",,24320
"2003-09-01","722511","Full service restaurants",,12504
"2003-09-01","722513, 722514, 722515","Limited service eating places",,11816
"2003-09-01",,"Retail sales, total",,265331
